"x1";"x2";"x3";"x4";"x5";"y"
"78";0.11;0.51;0.59;2.4;0.16;0
"79";-0.34;-0.82;-0.59;0.27;1.28;0
"80";-0.1;-0.16;-0.93;0.02;-0.34;0
"81";-0.65;-2.16;-1.1;-1.18;-0.03;0
"82";0.32;-1.48;2.97;-1.24;0.53;1
"83";0.14;1.19;1.12;1.91;1.71;0
"84";-1.68;-1.19;-0.11;-1.39;0.87;0
"85";-1.43;0.3;0.06;1.24;0.2;1
"86";-0.18;0.06;1.23;1.81;0.95;NA
"87";-0.84;-1.7;0.19;0.28;-0.03;1
"88";-1.19;0.19;0.83;-0.76;-2.43;0
"89";-0.81;-0.83;1.75;0.91;-0.14;1
"90";-1.27;-1.55;1.42;1.45;0.3;1
"91";-1.79;-0.71;0.78;-1.3;-0.62;0
"92";0.6;1.33;0.57;-0.13;-0.41;0
"93";-0.27;-1.69;NA;-0.75;-0.16;1
"94";-1.27;0.54;0.91;-0.2;1.27;1
"95";-0.38;-0.32;-0.12;0.61;0.01;0
"96";-0.03;-0.41;0.91;0.33;2.34;1
"97";1.56;-0.29;-1.14;0.69;1.12;0
"98";-1.38;0.38;0.88;-0.55;-1.02;1
"99";0.44;-0.66;-0.4;0.31;-1.67;0
"100";-1.71;0.57;1.3;-0.97;0.63;0
"101";-1.79;-0.08;0.62;-0.21;-1.98;0
"102";1.05;-0.59;-1.46;-0.21;-0.8;0
"103";-0.4;0.43;0.42;-0.84;-1.43;0
"104";-1.34;0.73;1.92;-0.25;2.08;0
"105";1.13;-0.7;-2.37;-0.75;1.78;0
"106";-0.8;-0.37;1.63;-1.47;0.25;1
"107";-0.35;0.86;1.59;0.95;0.45;0
"108";-0.98;-0.3;NA;0.7;1.81;1
"109";-1.61;2.92;1.86;0.43;0.44;1
"110";-2.23;-0.25;-0.47;-1.33;0.73;1
"111";-0.71;1.33;1.81;1.14;-0.8;0
"112";0.19;-0.02;0.04;-2.51;-0.61;0
"113";0.79;1.08;1.26;-0.94;0.05;0
"114";0.27;-1.45;2.64;-1.38;-0.57;1
"115";-1.53;0.08;0.99;1.33;-0.25;0
"116";-1.01;0.38;1.01;0.44;-1.35;0
"117";-0.19;-1.36;1.41;-0.6;-1.14;1
"118";-2.51;1.91;-0.59;-1.16;1;1
"119";0.11;0.41;0.12;0.15;0.11;0
"120";-1.4;0.39;0.94;0.38;-1.13;1
"121";2.16;1.99;0.96;1.3;-1.01;0
"122";-3.09;1.62;-0.38;-0.95;-1.08;1
"123";-0.63;-0.01;0.39;-0.14;0.83;1
"124";-0.4;-1.56;-0.14;-1.2;0.01;1
"125";-0.65;-0.56;0.22;-0.65;0.02;0
"126";-0.96;0.14;0.8;0.82;0.96;0
"127";-0.44;0.12;0.8;-0.75;-0.35;0
"128";-0.12;1.86;3.66;-0.33;-0.45;1
"129";-0.37;-0.37;0.8;1.46;-0.04;1
"130";-0.98;-0.47;0.76;0.08;0.03;1
"131";-0.32;-0.36;0.13;0.61;-0.87;1
"132";-1.27;-0.12;2.05;-1.02;0.24;1
"133";0.62;-0.92;1.51;-0.02;-0.17;1
"134";-1.75;0.88;-0.33;2.64;0.68;1
"135";-1.32;0.8;0.79;-1.05;0.61;1
"136";-0.27;0.59;0.23;-0.7;0.36;0
"137";-0.01;0.19;1.65;0.99;0.13;1
"138";0.81;0.18;NA;0.37;2.37;0
"139";1.15;0.27;0.12;0.89;1.91;0
"140";-0.61;1.35;3.04;0.93;1.48;1
"141";0.33;0.23;-0.2;1.09;-0.37;0
"142";0.37;-0.08;1.96;-1.07;-0.91;1
"143";-0.64;0.57;1.05;0.2;2.54;0
"144";-0.56;-0.93;0.78;-1.34;0.71;0
"145";0.08;-0.79;1.41;-0.88;1.74;1
"146";-0.65;-0.9;1.35;0.32;1.06;1
"147";-1.04;0.7;2.32;-0.75;-0.59;1
"148";-0.56;0.81;0.93;0.77;-1.06;0
"149";-0.94;-0.46;-0.26;-0.8;-1.06;0
"150";0.08;-1.91;-0.79;-0.27;-2.35;1
"151";0.21;-0.78;2.36;0.2;0.45;1
"152";-0.46;-1.41;0.59;0.87;-1.44;1
"153";-0.89;0.34;1.5;-0.36;1.02;1
"154";-0.37;-1.12;-0.62;0.04;-0.02;0
"155";-0.07;-0.81;-0.14;0.15;-0.38;0
"156";0.41;0.33;-0.25;0.17;-1.01;0
"157";0.17;1.58;0.84;0.87;-0.28;0
"158";-0.59;0.92;1.53;-0.16;0.41;0
"159";-0.34;2.45;4.38;2.01;0.27;1
"160";0.55;0.2;1.92;0.43;0.77;1
"161";0.16;-1.56;-1.51;0.89;-0.64;0
"162";-0.19;0.24;0.04;-1.06;0.27;0
"163";0.27;0.61;-0.09;2.24;1.8;0
"164";0.87;-0.37;-0.98;-0.42;-0.98;0
"165";1.71;1.34;0.05;1.93;-0.26;0
"166";-1.24;0.77;1.15;0.07;0.03;1
"167";-1.91;-1.76;-1.16;0.42;1.23;0
"168";-2.48;-0.46;-1.36;1.19;1.06;1
"169";-0.59;0.3;1.09;1.12;1.15;0
"170";0.6;0.93;0.82;1.27;0.34;0
"171";-0.53;3.48;2.56;-0.53;-0.11;1
"172";-1.26;1.13;2.03;-0.38;0.45;0
"173";-1.44;-0.05;0.1;0.35;-1.12;0
"174";-0.72;1.28;0.94;-0.32;-0.34;1
"175";-1.1;-0.57;0.75;-0.13;0.35;1
"176";-0.79;1.06;1.52;-0.3;1.37;1
"177";-1.5;1.63;2.56;2.24;-0.1;1
"178";1.19;-0.16;2.06;0.14;-1.49;1
"179";0.7;0.15;0.37;-0.61;-0.61;0
"180";-1.33;0.09;0.64;1.51;-0.96;1
"181";-0.53;0.26;0.06;-0.44;-0.13;0
"182";-0.71;0.12;1.08;-1.15;-0.34;0
"183";-0.18;0.52;-0.28;1.2;-0.17;0
"184";-0.26;2.73;3.01;0.08;-0.96;1
"185";0.28;-2.58;0.36;-0.58;0.15;1
"186";-0.56;-0.54;1.76;-0.45;-1.43;1
"187";-1.22;0.56;2.21;-0.71;-1.2;1
"188";0.08;-0.24;1.01;-0.91;0.81;1
"189";0.61;2.48;2.46;0.35;1.07;0
"190";-2.08;-1.08;-0.54;0.05;-1.2;1
"191";-1.4;1.16;0.21;-1.1;-1.87;1
"192";-1.15;-0.74;-0.43;0.1;-1.45;0
"193";-2.38;0.98;1.14;-0.63;1.11;1
"194";0.05;-2.07;-0.99;0.4;-0.33;0
"195";-0.98;0.48;0.58;-0.39;1.57;0
"196";-0.87;0.33;1.34;-1.06;0.84;0
"197";-0.6;-0.04;0.9;-2.2;-0.52;1
"198";1.55;1.25;0.54;-1.94;0.54;0
"199";-2.46;-0.93;0.6;0.29;0.51;0
"200";-0.14;2.16;1.93;-0.24;0.51;0
"201";-2.09;0.44;0.19;1.27;-0.06;1
"202";-1.15;-0.67;1.75;0.64;0.78;1
"203";-0.29;-0.82;0.06;0.76;1.3;0
"204";-0.19;0.69;2.32;0.73;1.77;NA
"205";-0.11;-0.07;-0.09;-0.14;-2.35;0
"206";0.2;-1.13;-1.47;0.89;-0.38;0
"207";0.05;0.99;1.05;0.32;0.53;1
"208";-1.99;2;1.52;0.82;0.09;1
"209";1.69;1.39;-0.51;-0.06;-2.01;0
"210";0.68;-1.34;-1.01;-0.28;-0.33;0
"211";-1.35;1.49;1.93;-1.53;1.62;1
"212";1.46;0.54;4.3;-1.29;-0.08;1
"213";1.2;-0.3;0.02;0.28;-0.54;0
"214";0.81;-1.03;-1.5;1.05;-0.47;0
"215";-0.26;1.17;1.27;-0.27;-0.47;0
"216";-0.15;1.79;1.86;-2.07;-1.72;0
"217";-0.91;-0.97;0.63;2.32;0.12;1
"218";-1.12;0.81;0.92;-0.34;-0.2;0
"219";-1.28;0.9;1.91;-0.93;0.47;1
"220";-3.64;-0.85;-0.06;-0.02;0.46;1
"221";-1.4;-0.54;0.36;0.81;1.2;1
"222";-0.39;0.87;0.06;-0.54;0.16;0
"223";0.56;-1.48;0.85;-2.55;-0.83;1
"224";-1.44;-0.65;0.25;0.33;1.47;0
"225";0.91;-0.48;NA;0.28;-0.75;0
"226";1.02;-1.97;-2.06;0.25;0.48;0
"227";-0.51;-0.29;0.05;-2.21;1.73;0
"228";-1.05;-0.09;0.59;0.15;-0.84;0
"229";-1.78;0.56;0.32;-0.03;-0.4;1
"230";-1.55;-1.08;-0.16;0.4;-1.14;1
"231";-0.83;2.24;2.23;-0.09;-1.08;1
"232";-1.58;1.06;1.58;0.42;-0.6;NA
"233";-0.78;0.71;1.43;0.49;-2.19;1
"234";-1.17;-2.42;0.45;-1.1;-0.64;1
"235";1.42;-0.75;-2.19;0.15;-0.61;0
"236";0.11;-2.06;0.38;-0.27;-1.89;1
"237";-1.56;1.64;2.8;0.68;0.86;1
"238";-1.44;1.27;2.37;-1.66;-1.05;0
"239";-2.02;1.75;2.85;-0.42;1.96;1
"240";-0.61;-1.32;0.06;-1.38;1.39;0
"241";-2.1;-0.26;2.18;0.87;-1.22;1
"242";0.84;1.26;0.79;-0.39;1.07;0
"243";0.65;-1.46;1.06;-0.38;-1.21;1
"244";-1.17;0.62;0.2;-0.2;0.43;1
"245";-0.94;0.03;-0.84;0.65;-1.08;1
"246";-0.2;1.54;1;1.52;1.04;0
"247";-0.94;0.03;0.43;0.53;0.39;1
"248";-1.09;-1.09;1.65;0.79;0.5;1
"249";-1.29;-0.53;NA;-0.02;1.28;1
"250";0.27;-0.47;0.08;0.97;0.68;0
"251";2.14;2.02;0.84;-1.69;0.27;0
"252";-0.05;-1.1;-0.74;-1.32;0.43;0
"253";1.02;1.3;1.42;-1.45;0.38;0
"254";-0.33;-1.21;-1.24;-0.56;1.31;0
"255";-1.78;1.79;-0.28;0.7;1.35;1
"256";-1.19;-0.38;0.25;-0.83;0.4;0
"257";-0.57;0.17;1.2;0.04;-0.25;0
"258";0.18;-1.16;1.48;1.61;-0.72;1
"259";0.37;-0.12;0.55;0.64;-0.03;0
"260";-1.46;-1.1;-0.55;0.09;0.3;1
"261";-2.41;-0.53;1.43;-0.7;0.66;1
"262";-1.76;-0.22;1.17;1.74;0.01;1
"263";-1.62;0.4;0.7;0.81;0.58;1
"264";-0.74;0.75;1.17;-0.3;-0.63;1
"265";-1.42;1.96;1.8;-0.26;0.96;1
"266";0.05;-0.25;2.07;1.66;0.27;1
"267";-0.37;-0.02;NA;-1.67;-2.56;1
"268";0.81;1.5;1.1;0.13;0.3;0
"269";-0.04;0.83;0.96;-0.86;-1.15;0
"270";-1.91;1.81;1.1;-0.33;-0.68;1
"271";-1.7;-0.68;-0.45;-0.57;0.18;1
"272";-1.45;-0.78;0.93;1.37;0.61;1
"273";1.36;1.77;1.26;-1.64;1.12;0
"274";-1.35;-2.35;-1.21;0.64;0.93;1
"275";-0.04;0.11;1.16;0.84;0.71;1
"276";-2.8;0.49;-0.1;0.95;0.13;1
"277";0.77;1.8;1.25;-0.04;1.53;0
"278";-0.7;-1.9;-0.16;-0.36;-0.71;1
"279";-0.98;0.72;0.96;-0.41;-0.3;1
"280";-1.59;0.61;1.9;-0.92;0.07;0
"281";-0.15;-2;-0.02;0.27;-0.28;1
"282";1.05;1.53;-0.09;0.17;-0.88;0
"283";0.26;-0.53;4.28;0.37;0.18;1
"284";0.37;0.14;-0.79;0.17;0.08;0
"285";-1.5;0.2;0.05;-0.62;0.33;1
"286";-0.28;-2.28;0.03;-0.52;1;1
"287";-0.6;1.08;1.18;-0.63;0.71;1
"288";-0.42;-0.36;0.49;-1.06;-0.46;1
"289";-1.69;-0.76;-0.74;-0.46;0.32;1
"290";-0.44;-0.21;1.05;-0.52;-1.62;1
"291";-1.88;0.8;-0.47;0;-0.86;1
"292";-0.7;1.44;1.17;-0.48;0.07;0
"293";-0.64;-2.52;-0.85;0.02;-0.01;1
"294";0.75;0.84;0.59;-1.33;-1.86;0
"295";-1.63;-1.32;-0.71;0.12;0.5;1
"296";-0.8;-0.09;1.02;-0.8;0.48;0
"297";-0.57;-1.05;3.32;0.08;-0.11;1
"298";0.82;0.4;0.48;-1.95;-1.68;0
"299";-0.93;-0.68;0.4;0.82;-1.19;0
"300";0.66;1.21;-0.53;-1.29;0.29;0
"301";0.08;-0.81;-1.05;0.77;0.54;0
"302";-0.57;-0.85;0.85;-0.89;0.06;1
"303";-2.11;-0.17;-1.45;0.24;-0.42;1
"304";-0.56;-1.17;0.1;0.9;-0.23;0
"305";-0.59;-0.01;0.32;1.13;-1.13;0
"306";0.03;0.2;1.27;-0.07;0.35;1
"307";-1.71;0.24;1.23;0.36;-2.16;1
"308";-0.61;-1.35;-0.65;0.34;-0.91;0
"309";-0.78;-0.13;0.56;-0.72;-0.95;0
"310";-0.76;-1.31;-0.22;-2.14;0;0
"311";-2.26;2.02;1.86;0.54;1.17;1
"312";1.73;-1.25;-0.76;0.28;0.87;0
"313";0.43;-0.44;-0.48;-2.24;0.26;0
"314";-0.2;-0.88;3.76;-0.83;1.18;1
"315";-1.41;-1.32;-0.25;-2.68;-0.7;0
"316";-1.54;-1.21;-0.63;-1.12;-1.56;0
"317";-1.42;0.07;1.46;-0.11;0.05;0
"318";-1.1;0.32;-0.23;-0.88;1.42;1
"319";0.41;-2.34;-2.13;-0.24;0.04;0
"320";-1.2;0.95;2.75;0.25;-2.73;0
"321";-0.26;-1.53;0.07;-0.11;0.31;0
"322";-1.35;-0.3;-0.44;-1.08;0.53;1
"323";0.88;0.63;0.13;-1.14;-1.05;0
"324";-2.01;1.49;0.46;1.61;-0.01;1
"325";-3.6;1.54;-0.08;1.22;-0.11;1
"326";-0.75;0.16;1.07;-0.24;0.23;1
"327";-1.26;-1.52;-1.06;-1.6;-1.49;0
"328";-1.01;0.07;0.95;0.34;-0.28;0
"329";-0.85;0.3;2.8;0.23;1.25;1
"330";-0.92;0.4;1.86;1.01;-0.59;1
"331";0.2;0.91;0.6;0.57;-1.08;0
"332";0.82;0.19;-0.85;-1.83;-1.72;0
"333";0.59;-0.26;-0.92;1.16;-0.64;0
"334";-1.52;-0.19;-2.09;-1.13;0.25;1
"335";-2;-1.28;0.35;-0.18;2.12;0
"336";1.71;-0.08;-0.51;0.2;0.32;NA
"337";0.38;1.12;2.1;-0.14;0.31;1
"338";-0.87;-0.89;2.07;0.96;-0.01;1
"339";-0.85;-0.46;-0.02;-0.17;0.34;0
"340";-0.34;-2.1;-0.01;-0.56;0.78;1
"341";-2.33;-0.51;1.82;-0.18;0.68;1
"342";-1.31;1.3;1.08;-0.65;-0.56;1
"343";-1.39;0.18;0.34;-0.76;-0.08;1
"344";-0.4;-1.5;0.05;-1.09;1.47;1
"345";2.44;0.75;-0.44;-0.8;0.32;0
"346";-2.51;-1.43;-0.73;-0.35;-1.14;1
"347";-0.71;-1.09;1.43;-0.13;-0.72;1
"348";-0.38;-0.24;0.24;0.36;-1.03;0
"349";0.71;0.65;1.6;-0.33;-0.23;1
"350";0.62;-0.34;-0.98;-0.33;-1.71;0
"351";-3.39;-0.15;0.19;0.38;-0.25;1
"352";-0.48;0.67;0.28;2.53;1.52;0
"353";-1.39;-0.1;1.32;0.16;0.4;0
"354";-1.5;1.52;2.67;-0.29;-0.37;1
"355";0.67;-1.25;2.04;0.02;-0.42;1
"356";-0.06;-1.91;-2.57;-0.06;0.12;0
"357";-0.75;-0.39;1.84;0.5;0.27;1
"358";-1.39;-0.58;0.26;0.68;-0.6;0
"359";2.51;-0.56;-1.36;-1;0.84;0
"360";-1.05;0.71;1.08;-0.4;-0.66;0
"361";-0.76;0.46;2.34;0.69;1.63;1
"362";-1.86;0.78;3.01;-0.25;-0.36;1
"363";-0.6;0.03;0.22;-1.28;-0.29;0
"364";-0.71;-0.06;2.23;-1.95;-0.55;1
"365";-1.17;-1.53;-0.26;-0.69;0.88;1
"366";-1.8;-1.23;0.04;-0.5;-1.02;1
"367";0.61;-1.04;-0.81;3.26;0.91;0
"368";-0.83;-0.52;-0.08;-1.22;-0.07;0
"369";-1.12;1.03;1.31;-1.3;0.11;1
"370";1.17;-0.13;2.81;1.03;-0.78;1
"371";0.49;0.14;0.09;0.15;-0.18;0
"372";-0.07;0.13;0.79;-1.43;-0.81;1
"373";0.08;0.46;-0.86;0.39;-0.19;0
"374";-0.79;-1.3;0.95;-1.31;-0.32;1
"375";1.18;0.84;-0.58;0.8;1.99;0
"376";-0.89;-0.62;1.13;0.3;0.51;NA
"377";0.05;-0.79;1.32;-0.59;1.24;1
"378";-1.87;0.65;0.67;1.01;-0.69;1
"379";-1.37;-0.53;0.25;-0.75;-0.45;0
"380";-0.27;-0.61;-0.1;-0.51;-0.34;0
"381";-2.14;-0.49;-1.23;-0.2;1.32;1
"382";0.09;-0.36;1.01;-0.57;0.23;1
"383";-1.06;1.12;0.19;0.21;-1.46;1
"384";0.67;-0.96;-1.39;0.25;0.97;0
"385";-0.09;-1.28;-1.58;0.81;1.84;0
"386";-1.43;-0.16;0.34;-0.4;0.4;0
"387";-0.44;-0.77;-0.95;-0.24;1;0
"388";-0.86;0.3;1.16;-0.21;-0.12;0
"389";-0.02;-2.2;-1.2;0.27;1.4;0
"390";-1.14;-0.1;1.06;-0.99;-1.04;0
"391";-2.37;0.48;1.77;-0.37;-0.04;0
"392";-1.65;-0.99;-0.41;-0.3;0.35;0
"393";1.41;-0.68;-1.16;-0.17;-0.82;0
"394";-1.02;0.7;0.9;1.14;-0.89;0
"395";2.41;0.15;-1.05;-0.19;0.88;0
"396";-0.95;-1.97;1.06;-1.74;0.28;1
"397";-2.59;2.37;0.61;-0.12;-0.45;1
"398";-2.42;0.34;-1.53;0.79;-0.3;1
"399";-0.39;1.24;0.81;1.78;-0.23;0
"400";-1;0.37;-0.11;-1.47;0.05;0
"401";-0.82;-0.27;1.34;0.28;0.43;0
"402";-0.19;0.34;1.24;1.17;0.4;0
"403";-0.6;-1.07;1.25;-0.3;0.83;1
"404";-0.06;0.82;2.94;0.58;0.49;1
"405";-0.11;1.49;1.5;-0.5;-0.26;0
"406";-0.69;0.82;2.89;-0.49;-0.09;1
"407";-0.69;-0.62;0.84;-0.63;1.16;0
"408";1.01;-0.73;-0.07;1.07;1.41;0
"409";-1.96;1.06;0.91;-0.98;-0.98;1
"410";-1.58;0.27;1.32;-0.33;-1.32;0
"411";-1.47;-1.67;2.08;-1.17;0.98;1
"412";1.7;-0.49;NA;0.63;1.63;0
"413";-0.09;-0.35;0.43;0.78;0.53;0
"414";-0.33;0;0.32;-2.44;0.8;0
"415";-0.91;-2.01;-1.1;0.15;0.85;0
"416";-0.29;1.49;1.69;-0.37;-0.15;0
"417";-0.65;-0.5;0.33;-0.53;1.53;0
"418";-2.54;-0.24;0.66;0.46;-2.09;1
"419";-0.57;-0.59;1.26;0.77;0.04;1
"420";-1.31;1.15;0.85;0.55;1.81;1
"421";-1.32;-0.89;-0.16;1.11;0.45;0
"422";0.14;-1.08;-0.37;-0.63;1.64;0
"423";0.57;0.65;3.65;-0.12;0.36;1
"424";-1.36;0.9;1.31;1.29;1.01;NA
"425";-0.44;-0.38;-0.35;2.83;1.31;0
"426";-1.18;0.08;0.95;1.07;1.24;1
"427";-1.6;0.09;1.04;-0.29;-0.93;1
"428";-0.92;0.42;1.01;1.39;-0.74;0
"429";0.67;-1.45;-1.21;0.47;0.84;0
"430";-0.99;0.28;0.8;0.39;1.3;0
"431";-0.18;0.06;1.73;0.17;-0.08;1
"432";0.1;-1.39;-1.45;-0.67;0.12;0
"433";-1.62;0.21;1.03;1.3;-1.69;1
"434";1.65;0.12;3.43;-0.8;-0.79;1
"435";-0.24;0.88;0.68;0.33;-1.38;0
"436";-1.14;-0.6;-0.18;0.17;1.47;NA
"437";-0.16;-2.53;-0.13;0.38;0.16;1
"438";-1.91;2.69;0.16;0.03;-0.18;1
"439";1.48;1.94;-0.31;-1.05;0.88;0
"440";1.81;1.82;-0.1;1.69;1.44;0
"441";-1.47;-2.05;1.21;-0.23;-0.57;1
"442";0.72;-0.1;-0.3;1.14;-1;0
"443";1.41;1.1;0.16;-1.27;-1.33;0
"444";0.17;-0.1;-0.75;1.32;2.22;0
"445";-1.91;-1.67;-0.1;0.11;-0.15;1
"446";-1.25;0.21;1.07;0.64;0.2;0
"447";-2.25;-1.72;0.08;1.75;-1.11;1
"448";-1.12;3.28;2.77;-0.6;-2.11;1
"449";-1.65;-0.22;0.87;0.66;2.11;0
"450";-1.82;-0.11;2.29;0.33;0.53;1
"451";-0.67;-0.08;-0.69;0.58;-0.89;0
"452";-0.2;-0.51;1.83;0.86;-0.4;1
"453";-0.98;1.17;2.56;0.41;0.27;1
"454";-0.68;0.1;0.38;1.22;-0.1;0
"455";-1.65;-0.25;0.96;-0.2;0.24;1
"456";0.33;-2.91;1.44;-0.39;0.08;1
"457";0.19;-0.74;-0.59;1.18;0.52;0
"458";0.99;-0.61;2.37;-0.91;-1.2;1
"459";-1.39;-0.92;-0.55;0.09;-0.74;NA
"460";0.24;-0.82;3.4;0.81;-0.08;1
"461";-0.24;0.2;1.44;0.67;-0.93;1
"462";-1.95;0.26;2.72;-0.76;0;1
"463";-1.55;-1;-0.55;-0.57;0.32;1
"464";1.53;0.75;-0.22;0.95;0.63;0
"465";-2.75;0.2;-0.54;1.17;0.28;1
"466";-0.35;0.51;0.12;1.92;-0.28;0
"467";-0.11;0.32;0.17;-0.7;-1.1;0
"468";0.54;-0.8;-0.84;-0.22;0.44;0
"469";-0.14;-0.56;2.74;1.83;-0.18;1
"470";1.5;-0.11;3.31;-0.93;-0.41;1
"471";0.32;-0.35;0.92;0.84;-0.36;0
"472";1.06;0.01;-0.65;-0.91;0.5;0
"473";-2.45;1.18;1.83;-0.89;-1.2;1
"474";-2.5;2.79;2.6;2.08;0.3;NA
"475";-1.41;-1.68;-1.13;-1.11;0.69;0
"476";-0.63;-0.04;1.02;1.54;0.49;0
"477";-0.35;-0.42;-0.34;0.78;-1.15;0
"478";-2.4;-1.13;0.48;1.15;0;0
"479";-1.54;-0.45;0.59;-0.9;0.17;1
"480";-0.64;-0.12;0.13;0.04;1.14;0
"481";-2.19;0.35;0.11;-0.52;0.36;1
"482";0.44;-0.69;-1.77;-1.6;-2.24;0
"483";0.05;0.67;0.38;-0.31;1.11;0
"484";0.19;0.12;-1.1;0.37;-1.62;0
"485";0.28;0.3;0.57;-0.09;-0.48;0
"486";-1.61;0.66;0.84;0.68;-2;1
"487";1.72;-0.22;-1.63;-0.58;-1.15;0
"488";-0.53;0.9;1.33;-1.02;-1.23;0
"489";-0.21;-1.45;-0.83;-1.75;0.36;0
"490";-0.45;1.93;1.64;-1.54;-0.69;1
"491";-0.67;2.02;1.51;-0.49;1.01;1
"492";0.44;0.66;3.72;2.14;1.06;1
"493";-0.96;-0.61;1.31;-0.39;0.94;1
"494";-1.97;-0.24;0.97;0.23;-0.71;1
"495";-0.44;0.86;0.82;-1.87;0.75;0
"496";-1.09;0.08;2.27;-2.59;0.47;NA
"497";-0.72;-0.84;0.68;0.3;-0.04;1
"498";1.63;1.16;-0.14;0.84;0.36;0
"499";0.96;-0.8;0.56;-0.25;-0.28;1
"500";-1.92;2.2;0.2;0.36;-0.21;1
